année,Code département,circonscription
1966,13,1
1966,13,2
1966,13,3
1966,13,4
1966,13,5
1966,13,6
1966,13,7
1966,13,8
1966,26,1
1966,91,1
1966,91,2
1966,91,3
1966,91,4
1966,92,1
1966,92,2
1966,92,3
1966,92,4
1966,92,5
1966,92,6
1966,92,7
1966,92,8
1966,92,9
1966,92,10
1966,92,11
1966,92,12
1966,92,13
1966,37,1
1966,37,2
1966,49,1
1966,49,2
1966,49,3
1966,49,4
1966,49,5
1966,49,6
1966,59,4
1966,62,10
1966,62,11
1966,62,12
1966,62,14
1966,57,1
1966,57,2
1966,59,1
1966,59,6
1966,93,1
1966,93,2
1966,93,3
1966,93,4
1966,93,5
1966,93,6
1966,93,7
1966,93,8
1966,93,9
1966,94,1
1966,94,2
1966,94,3
1966,94,4
1966,94,5
1966,94,6
1966,94,7
1966,94,8
1966,95,1
1966,95,2
1966,95,3
1966,95,4
1966,95,5
1966,83,3
1966,83,4
1966,78,1
1966,78,2
1966,78,3
1966,78,4
1966,78,5
1966,78,6
1966,78,7
1966,78,8
1972,38,5
1972,38,6
1972,38,7
1972,69,6
1972,69,7
1972,69,8
1972,69,11
1972,69,12
1972,69,13
1972,78,6
